NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
88,E4220200159111,針尾小学校,長崎県佐世保市針尾中町1863,1,,,33.082190782602,129.75469596677,
89,E4220200162111,針尾地区コミュニティセンター　体育室,長崎県佐世保市針尾北町756,1,,,33.100259486338,129.75604929392,
90,E4220200164111,早岐中学校,長崎県佐世保市陣の内町100,1,,,33.143321810751,129.79700422218,
91,E4220200167111,潮見小学校,長崎県佐世保市須田尾町19-44,1,,,33.164699550623,129.73435168782,
92,E4220200168111,山澄中学校,長崎県佐世保市須田尾町232,1,,,33.166378548257,129.73596677262,
93,E4220200169111,世知原中学校,長崎県佐世保市世知原町栗迎132-1,1,,,33.254584645801,129.75307113936,
94,E4220200170111,世知原小学校,長崎県佐世保市世知原町栗迎194-1,1,,,33.256681028612,129.75354816219,
95,E4220200171111,世知原地区コミュニティセンター,長崎県佐世保市世知原町栗迎246-1,1,,,33.257698563416,129.75168522588,
96,E4220200174111,春日小学校,長崎県佐世保市瀬戸越3-19-1,1,,,33.203047870508,129.72828606692,
97,E4220200175111,県立佐世保工業高等学校,長崎県佐世保市瀬戸越3-3-30,1,,,33.208060585889,129.72993575838,
98,E4220200179111,愛宕中学校,長崎県佐世保市赤崎町483-2,1,,,33.1570812126,129.69703366965,
99,E4220200180111,愛宕地区コミュニティセンター,長崎県佐世保市赤崎町596-26,1,,,33.15556389,129.6953917,
100,E4220200183111,長崎県立大学佐世保校,長崎県佐世保市川下町123,1,,,33.18686072236,129.66661265403,
101,E4220200184111,相浦地区コミュニティセンター,長崎県佐世保市川下町209-5,1,,,33.186276287825,129.66823856129,
102,E4220200185111,相浦中学校,長崎県佐世保市川下町277,1,,,33.190341316302,129.66855761201,
103,E4220200187111,浅子小中学校,長崎県佐世保市浅子町58,1,,,33.203214809879,129.62599839863,
104,E4220200189111,船越小学校,長崎県佐世保市船越町759,1,,,33.145850161726,129.69048389068,
105,E4220200191111,早岐地区コミュニティセンター,長崎県佐世保市早岐1-6-38,1,,,33.13631111,129.7975667,
106,E4220200192111,早岐小学校,長崎県佐世保市早岐2-32-12,1,,,33.139810730701,129.79800511192,
107,E4220200194111,相浦西小学校,長崎県佐世保市相浦町794,1,,,33.191268190726,129.66249778708,
108,E4220200199111,相浦西小学校大崎分校,長崎県佐世保市大潟町467,1,,,33.173423266925,129.6453113808,
109,E4220200200111,福石小学校,長崎県佐世保市大宮町32-1,1,,,33.156384826524,129.74266459524,
110,E4220200212111,県立佐世保特別支援学校,長崎県佐世保市竹辺町810,1,,,33.196868585392,129.67392505251,
111,E4220200213111,中里小学校,長崎県佐世保市中里町356,1,,,33.202958724715,129.68375816695,
112,E4220200214111,中里中学校,長崎県佐世保市中里町905,1,,,33.204498500367,129.69030355991,
113,E4220200215111,山澄地区コミュニティセンター,長崎県佐世保市潮見町14-14,1,,,33.16422222,129.7289722,
114,E4220200217112,九州文化学園高等学校,長崎県佐世保市椎木町600,1,,,33.179772932029,129.67239762937,
115,E4220200217111,長崎短期大学,長崎県佐世保市椎木町600,1,,,33.180215384809,129.6743206859,
116,E4220200218111,総合グラウンド,長崎県佐世保市椎木町無番地,1,,,33.179280555556,129.66733055556,
117,E4220200219111,天神小学校,長崎県佐世保市天神1-11-13,1,,,33.150071823623,129.7390359523,
118,E4220200221111,港小学校,長崎県佐世保市天神町1603,1,,,33.139589254112,129.72966415088,
119,E4220200222111,崎辺中学校,長崎県佐世保市天神町1706,1,,,33.140516633581,129.73190513969,
120,E4220200224111,大野地区コミュニティセンター,長崎県佐世保市田原町13-29,1,,,33.20851389,129.7211667,
121,E4220200223111,県立佐世保西高等学校,長崎県佐世保市田原町130-1,1,,,33.20938593231,129.72020036697,
122,E4220200227111,大久保小学校,長崎県佐世保市東大久保町9-10,1,,,33.177892138309,129.70995079558,
123,E4220200230111,日宇中学校,長崎県佐世保市日宇町2181,1,,,33.164304911709,129.76385049622,
124,E4220200231111,県立佐世保南高等学校,長崎県佐世保市日宇町2526,1,,,33.161299383095,129.7668523629,
125,E4220200233111,日宇小学校,長崎県佐世保市日宇町284,1,,,33.163884996213,129.75639340396,
126,E4220200234111,日宇スポーツセンター,長崎県佐世保市日宇町522-1,1,,,33.156508333333,129.75469166667,
127,E4220200235111,日宇地区コミュニティセンター,長崎県佐世保市日宇町675-2,1,,,33.15776111,129.7583889,
128,E4220200236111,日野小学校,長崎県佐世保市日野町1308,1,,,33.17237596254,129.67809994935,
129,E4220200237111,日野中学校,長崎県佐世保市日野町2079,1,,,33.1708466435,129.66804644506,
130,E4220200240111,県立佐世保中央高等学校,長崎県佐世保市梅田町10-14,1,,,33.188746991742,129.71722076516,
131,E4220200242111,宮地区コミュニティセンター　体育室,長崎県佐世保市萩坂町1782-1,1,,,33.086530227589,129.81540023995,
132,E4220200244111,県立佐世保北高等学校,長崎県佐世保市八幡町6-31,1,,,33.181102778725,129.71884288923,
133,E4220200246111,久田学園佐世保女子高等学校,長崎県佐世保市比良町21-1,1,,,33.180405080813,129.71074894871,
134,E4220200251111,清水小学校,長崎県佐世保市保立町10-1,1,,,33.187677109866,129.71503795084,
135,E4220200252112,清水地区コミュニティセンター,長崎県佐世保市保立町12-31,1,,,33.18631111,129.7142361,
136,E4220200252111,総合教育センター,長崎県佐世保市保立町12-31,1,,,33.186102777778,129.71444722222,
137,E4220200253111,佐世保実業高等学校,長崎県佐世保市母ヶ浦町888-1,1,,,33.179776175783,129.68099985759,
138,E4220200254111,清水中学校,長崎県佐世保市万徳町9-7,1,,,33.184343527475,129.71532285115,
139,E4220200256111,木風小学校,長崎県佐世保市木風町180,1,,,33.167043199725,129.74157752587,
140,E4220200257111,旧野崎中学校,長崎県佐世保市野崎町2916,1,,,33.119111457036,129.68668351317,
141,E4220200268111,野崎町公民館,長崎県佐世保市野崎町2931,,,,33.118656,129.687673,
142,E4220200263111,江上地区コミュニティセンター　体育室,長崎県佐世保市有福町827,1,,,33.133225,129.7846722,
143,E4220200264111,柚木地区コミュニティセンター　体育室,長崎県佐世保市柚木町1434-1,1,,,33.209475,129.7628333,
144,E4220200265111,柚木中学校,長崎県佐世保市柚木町2063,1,,,33.211233848885,129.76568785671,
145,E4220200266111,柚木地区コミュニティセンター,長崎県佐世保市柚木町2088-2,1,,,33.21042222,129.7642083,
